timestamp,src_mac,dst_mac,src_ip,src_port,dst_ip,dst_port,payload_sum,payload_len
Thu Mar 20 23:55:54 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54177.0,104.18.26.48,443.0,8839.0,85.0
Thu Mar 20 23:55:54 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,60908.0,511.0
Thu Mar 20 23:55:54 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,19168.0,176.0
Thu Mar 20 23:55:54 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,8294.0,85.0
Thu Mar 20 23:55:54 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,5520.0,60.0
Thu Mar 20 23:55:54 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.18.26.48,443.0,192.168.135.162,54177.0,4790.0,60.0
Thu Mar 20 23:55:54 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,9055.0,89.0
Thu Mar 20 23:55:54 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,4500.0,60.0
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,52506.0,192.168.135.90,53.0,6407.0,77.0
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,53452.0,192.168.135.90,53.0,6407.0,77.0
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54175.0,104.18.26.48,443.0,89568.0,701.0
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54175.0,104.18.26.48,443.0,9851.0,93.0
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54175.0,104.18.26.48,443.0,129531.0,1028.0
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54175.0,104.18.26.48,443.0,170005.0,1354.0
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54175.0,104.18.26.48,443.0,78932.0,627.0
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,76472.0,628.0
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,29683.0,242.0
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,59133.0,192.168.135.90,53.0,7165.0,84.0
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,55779.0,192.168.135.90,53.0,7420.0,84.0
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,49184.0,192.168.135.90,53.0,7165.0,84.0
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,49666.0,192.168.135.90,53.0,7165.0,84.0
Thu Mar 20 23:56:03 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.18.26.48,443.0,192.168.135.162,54175.0,5045.0,60.0
Thu Mar 20 23:56:03 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.18.26.48,443.0,192.168.135.162,54175.0,5045.0,60.0
Thu Mar 20 23:56:03 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.18.26.48,443.0,192.168.135.162,54175.0,9341.0,93.0
Thu Mar 20 23:56:03 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,192.168.135.90,53.0,192.168.135.162,52506.0,7905.0,109.0
Thu Mar 20 23:56:03 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,192.168.135.90,53.0,192.168.135.162,53452.0,8915.0,119.0
Thu Mar 20 23:56:03 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.18.26.48,443.0,192.168.135.162,54175.0,5045.0,60.0
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54177.0,104.18.26.48,443.0,8330.0,84.0
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54177.0,104.18.26.48,443.0,5555.0,60.0
Thu Mar 20 23:56:03 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,192.168.135.90,53.0,192.168.135.162,59133.0,9175.0,114.0
Thu Mar 20 23:56:03 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,192.168.135.90,53.0,192.168.135.162,55779.0,12441.0,163.0
Thu Mar 20 23:56:03 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,192.168.135.90,53.0,192.168.135.162,49184.0,8424.0,100.0
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54179.0,20.204.244.192,443.0,0.0,0.0
Thu Mar 20 23:56:03 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,192.168.135.90,53.0,192.168.135.162,49666.0,12946.0,168.0
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,65260.0,34.160.164.47,443.0,161942.0,1292.0
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,65260.0,34.160.164.47,443.0,160157.0,1292.0
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,9441.0,84.0
Thu Mar 20 23:56:03 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,5646.0,60.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.18.26.48,443.0,192.168.135.162,54177.0,4790.0,60.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.18.26.48,443.0,192.168.135.162,54177.0,4790.0,60.0
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54177.0,104.18.26.48,443.0,5555.0,60.0
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54175.0,104.18.26.48,443.0,5810.0,60.0
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54175.0,104.18.26.48,443.0,10110.0,89.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.18.26.48,443.0,192.168.135.162,54175.0,5045.0,60.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,34.160.164.47,443.0,192.168.135.162,65260.0,8877.0,82.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,34.160.164.47,443.0,192.168.135.162,65260.0,163982.0,1292.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,34.160.164.47,443.0,192.168.135.162,65260.0,166532.0,1292.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,34.160.164.47,443.0,192.168.135.162,65260.0,167042.0,1292.0
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,65260.0,34.160.164.47,443.0,8878.0,81.0
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54175.0,104.18.26.48,443.0,9855.0,89.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,34.160.164.47,443.0,192.168.135.162,65260.0,164237.0,1292.0
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,65260.0,34.160.164.47,443.0,8877.0,82.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,34.160.164.47,443.0,192.168.135.162,65260.0,73386.0,598.0
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,65260.0,34.160.164.47,443.0,8367.0,82.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,20.204.244.192,443.0,192.168.135.162,54179.0,0.0,0.0
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54179.0,20.204.244.192,443.0,5856.0,60.0
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54179.0,20.204.244.192,443.0,157811.0,1354.0
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54179.0,20.204.244.192,443.0,46987.0,488.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.18.26.48,443.0,192.168.135.162,54175.0,5045.0,60.0
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54175.0,104.18.26.48,443.0,5810.0,60.0
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54174.0,108.159.15.29,443.0,5695.0,60.0
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,5265.0,60.0
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,65260.0,34.160.164.47,443.0,10136.0,98.0
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54179.0,20.204.244.192,443.0,5856.0,60.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.18.26.48,443.0,192.168.135.162,54175.0,5045.0,60.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,108.159.15.29,443.0,192.168.135.162,54174.0,5440.0,60.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.18.26.48,443.0,192.168.135.162,54175.0,5045.0,60.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,20.204.244.192,443.0,192.168.135.162,54179.0,5856.0,60.0
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54174.0,108.159.15.29,443.0,5695.0,60.0
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54175.0,104.18.26.48,443.0,5555.0,60.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,20.204.244.192,443.0,192.168.135.162,54179.0,5601.0,60.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,20.204.244.192,443.0,192.168.135.162,54179.0,165226.0,1334.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,20.204.244.192,443.0,192.168.135.162,54179.0,163186.0,1334.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,20.204.244.192,443.0,192.168.135.162,54179.0,166246.0,1334.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,20.204.244.192,443.0,192.168.135.162,54179.0,39260.0,310.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,20.204.244.192,443.0,192.168.135.162,54179.0,115136.0,934.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,4500.0,60.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,20.204.244.192,443.0,192.168.135.162,54179.0,5856.0,60.0
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54179.0,20.204.244.192,443.0,5601.0,60.0
Thu Mar 20 23:56:04 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,5265.0,60.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.26,443.0,192.168.135.162,54178.0,4626.0,60.0
Thu Mar 20 23:56:04 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.26,443.0,192.168.135.162,54178.0,19802.0,178.0
