timestamp,src_mac,dst_mac,src_ip,src_port,dst_ip,dst_port,payload_sum,payload_len,Anomaly,Anomaly_Score
Thu Mar 20 23:55:32 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.26,443.0,192.168.135.162,54178.0,12968.0,127.0,False,0.008649955153312825
Thu Mar 20 23:55:32 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,5646.0,60.0,False,0.0038654214199797866
Thu Mar 20 23:55:34 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,12347.0,112.0,False,0.00874205434938099
Thu Mar 20 23:55:34 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,4755.0,60.0,False,0.004707977494416993
Thu Mar 20 23:55:34 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,62186.0,508.0,True,0.012847586913633696
Thu Mar 20 23:55:34 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,20443.0,176.0,False,0.008936541124084955
Thu Mar 20 23:55:34 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,7784.0,85.0,False,0.008136147160621165
Thu Mar 20 23:55:34 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,5520.0,60.0,False,0.006225309170852893
Thu Mar 20 23:55:34 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,8800.0,89.0,False,0.007416604886894746
Thu Mar 20 23:55:34 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,4755.0,60.0,False,0.004707977494416993
Thu Mar 20 23:55:44 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,12602.0,112.0,False,0.008969870157568184
Thu Mar 20 23:55:44 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,4500.0,60.0,False,0.004964380844278694
